State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Florida,52.97,Honda,Hunter 350,255594,2022,283,Electric,64.13,Second,2023,Expired,Individual,158528.35,Devonport
Texas,38.64,Bajaj,Meteor 350,81979,2022,457,Hybrid,89.23,Third,2018,Expired,Individual,90406.04,Austinfort
Delaware,69.62,Honda,NTorq 125,85645,2016,184,Petrol,26.83,Second,2015,Active,Individual,85229.97,Andradeport
Idaho,77.25,TVS,Sport,77468,2019,328,Electric,69.72,Third,2024,Active,Dealer,35570.35,Yangmouth
Tennessee,24.25,Yamaha,Versys 650,77692,2016,542,Electric,98.08,Third,2024,Not Available,Individual,30995.25,Millerfurt
Delaware,64.38,TVS,Duke 200,66169,2023,198,Petrol,53.72,First,2023,Not Available,Dealer,33690.71,New Russellberg
Mississippi,7.23,Honda,Ray ZR,160487,2024,901,Hybrid,66.81,Second,2024,Expired,Dealer,143614.61,West Lisa
Mississippi,68.21,Yamaha,390 Adventure,241831,2018,863,Electric,64.89,Third,2017,Expired,Dealer,120071.38,New Gabriella
Nebraska,30.58,KTM,Ninja 300,192951,2017,129,Petrol,48.86,Third,2023,Active,Individual,101783.85,South Hannah
Kansas,79.34,Bajaj,FZ V3,126198,2016,850,Electric,99.06,Second,2024,Not Available,Dealer,49851.61,West Tiffany
Kentucky,11.75,Yamaha,Glamour,156148,2019,817,Hybrid,68.19,First,2023,Not Available,Dealer,66226.46,West Kelly
Minnesota,28.7,Bajaj,Avenger 220,234899,2021,124,Hybrid,86.67,Second,2022,Active,Dealer,168483.04,Harveyton
Vermont,64.3,Royal Enfield,Dominar 400,318260,2018,534,Petrol,51.24,Third,2022,Expired,Dealer,184381.11,Port Robertmouth
Texas,26.9,Hero,Vulcan S,264618,2018,745,Electric,88.78,Second,2018,Active,Individual,140267.2,Laurenport
Oklahoma,75.68,Hero,Interceptor 650,120685,2020,658,Petrol,39.0,Second,2019,Active,Individual,90641.44,East Crystal
Nebraska,6.45,KTM,Z650,359184,2018,426,Petrol,48.76,Third,2020,Active,Individual,224924.64,Katherineland
Massachusetts,46.81,Bajaj,FZ V3,393198,2022,992,Electric,98.75,Third,2023,Active,Dealer,239869.64,Beckyburgh
Kentucky,12.12,Yamaha,Interceptor 650,300145,2015,515,Electric,82.15,First,2021,Expired,Individual,147944.9,Port Kimberly
Nebraska,67.5,Hero,Dio,198132,2022,200,Hybrid,52.64,First,2016,Active,Dealer,106818.57,Leport
Idaho,55.74,Hero,Unicorn,269352,2021,946,Electric,99.16,First,2018,Expired,Dealer,189128.93,Christopherview
Mississippi,53.66,Kawasaki,Activa,292046,2015,630,Petrol,38.31,First,2023,Expired,Individual,107871.63,Lake Nataliestad
Alabama,67.06,TVS,Platina 110,315570,2022,253,Petrol,75.12,Second,2022,Active,Dealer,158337.7,South Brandon
Wisconsin,9.5,Hero,390 Adventure,358555,2022,811,Hybrid,49.42,Second,2023,Active,Individual,283572.92,Claudiachester
Alaska,66.85,Bajaj,Xtreme 160R,226462,2021,825,Electric,65.37,First,2019,Not Available,Dealer,156553.04,Stephaniemouth
Kansas,39.48,Hero,Himalayan,232044,2019,407,Hybrid,91.01,Second,2024,Not Available,Individual,149842.07,Adamfurt
North Dakota,48.26,Honda,Apache RTR 160,177814,2016,266,Hybrid,65.16,Third,2024,Not Available,Dealer,106587.39,West Tylerborough
New York,35.62,Bajaj,CBR 650R,326478,2024,112,Electric,94.16,Second,2024,Active,Dealer,203553.9,Nathanport
Rhode Island,8.5,Yamaha,CBR 650R,248872,2017,600,Petrol,52.5,First,2021,Not Available,Dealer,161209.06,East Shannonport
Maryland,78.77,Honda,Dominar 400,280224,2024,210,Electric,42.88,Second,2023,Active,Dealer,139613.43,Lake Johnton
Texas,24.28,Kawasaki,Z650,194367,2019,261,Electric,72.98,Third,2023,Expired,Dealer,63677.18,South Pamelatown
Arkansas,7.96,Bajaj,Ninja 300,271384,2017,597,Hybrid,96.84,Third,2020,Active,Individual,133159.71,Stephaniefurt
Oregon,34.18,KTM,Dio,136694,2016,267,Petrol,43.29,Second,2018,Expired,Dealer,118654.28,Lake Edwardtown
New Hampshire,47.86,Yamaha,Duke 200,87584,2024,472,Hybrid,37.02,First,2020,Active,Dealer,54933.12,Townsendport
Kentucky,55.04,Yamaha,FZ V3,219313,2023,869,Petrol,27.61,Third,2024,Expired,Dealer,80484.76,East Rachel
New Mexico,13.24,TVS,250 Duke,157515,2019,430,Electric,87.24,Second,2019,Not Available,Individual,123907.65,Campbellborough
South Carolina,50.8,Yamaha,Splendor Plus,193429,2020,388,Hybrid,56.99,Second,2016,Active,Dealer,86988.77,Chaseland
Idaho,47.76,Hero,Passion Pro,388838,2017,445,Electric,86.46,Second,2024,Expired,Individual,255260.42,East Howard
Alabama,36.91,Bajaj,Vulcan S,351085,2017,638,Electric,88.85,Second,2023,Not Available,Individual,205717.88,South Tina
New Jersey,60.37,TVS,HF Deluxe,207151,2021,146,Electric,93.72,Third,2016,Expired,Individual,139789.88,Bowmanview
New York,77.05,Kawasaki,Himalayan,91268,2024,656,Petrol,31.91,Second,2018,Expired,Dealer,78952.78,South Lauren
Illinois,69.45,Bajaj,R15 V4,321909,2017,257,Petrol,63.31,Second,2024,Expired,Dealer,151909.42,Chanland
Alabama,29.52,Hero,Sport,99073,2019,131,Electric,80.31,Second,2023,Expired,Dealer,57912.56,East Michaelshire
Hawaii,53.41,Honda,Vulcan S,140232,2023,717,Electric,99.63,Second,2016,Active,Individual,177687.54,Matthewhaven
Arizona,6.54,Kawasaki,CT 100,251793,2022,835,Petrol,68.6,Third,2023,Expired,Dealer,162330.98,Port Dwaynemouth
Alaska,40.09,Hero,Activa,358311,2021,481,Electric,83.88,Third,2018,Active,Individual,217640.01,Frankstad
Idaho,73.1,Bajaj,Dio,116164,2015,766,Hybrid,56.94,First,2015,Not Available,Dealer,113097.32,Barbarastad
South Carolina,77.41,Honda,Xtreme 160R,89232,2024,565,Hybrid,88.67,First,2021,Not Available,Individual,76445.56,Alexischester
Washington,49.82,Kawasaki,Z650,351508,2020,413,Electric,78.26,First,2024,Expired,Individual,182704.9,Lake Lisafort
South Carolina,41.2,Hero,Fascino 125,365782,2019,178,Electric,87.53,Third,2020,Active,Individual,231192.77,Lake Stephenburgh
Indiana,41.18,Hero,Avenger 220,315830,2024,372,Petrol,31.29,Third,2015,Active,Individual,169080.84,Alicialand
Missouri,30.7,Royal Enfield,Ronin,275154,2016,159,Electric,95.5,Third,2022,Expired,Dealer,143380.89,Lake Lori
Arkansas,79.63,TVS,Classic 350,365632,2019,804,Petrol,58.9,Second,2023,Expired,Dealer,239204.88,East Monica
North Carolina,42.16,Yamaha,Z650,322152,2021,139,Hybrid,49.74,First,2020,Not Available,Dealer,206052.37,West Maryhaven
Massachusetts,57.29,Yamaha,NTorq 125,392495,2023,117,Electric,64.7,Third,2023,Expired,Individual,233098.77,North Rachel
Oregon,45.7,Yamaha,Platina 110,339431,2023,716,Petrol,49.54,First,2021,Not Available,Individual,170586.69,Christinaborough
Illinois,51.6,Honda,MT-15,353335,2019,373,Hybrid,77.05,Third,2018,Not Available,Individual,213877.82,North Kyle
Wyoming,41.16,Bajaj,Ninja 300,50535,2024,629,Hybrid,77.34,Second,2024,Not Available,Individual,32103.09,Rosarioland
Kentucky,7.58,Honda,Platina 110,141553,2024,378,Hybrid,30.34,Third,2021,Expired,Individual,67360.62,Danaland
Rhode Island,72.64,Bajaj,NTorq 125,71435,2016,342,Electric,71.15,Third,2017,Active,Dealer,62185.04,Samuelburgh
Illinois,30.37,Kawasaki,Duke 200,229834,2018,907,Hybrid,51.36,Third,2021,Active,Dealer,84273.65,West Matthewberg
New York,57.56,Bajaj,Pulsar 150,260027,2020,849,Hybrid,53.25,Second,2024,Expired,Individual,153467.62,Staffordborough
Pennsylvania,39.77,Bajaj,Z650,52590,2023,588,Hybrid,32.1,First,2020,Active,Dealer,31724.96,Chavezport
Oklahoma,44.41,Honda,MT-15,223824,2024,806,Hybrid,68.9,First,2023,Not Available,Dealer,172949.72,West Adrian
Nebraska,25.46,Yamaha,Ninja 400,198978,2020,778,Hybrid,35.36,Second,2024,Expired,Dealer,115787.82,New Sydney
Wyoming,69.75,TVS,Activa,234619,2015,908,Electric,94.88,Second,2016,Not Available,Individual,178586.46,New Monica
Michigan,58.13,Hero,Platina 110,311560,2015,883,Petrol,40.96,First,2020,Expired,Individual,147773.63,North Bonniefurt
Vermont,75.82,Honda,Passion Pro,357567,2022,815,Petrol,65.89,Second,2019,Not Available,Dealer,263601.85,New Lesliefurt
Minnesota,67.89,Kawasaki,250 Duke,98870,2018,784,Hybrid,45.11,Third,2024,Expired,Dealer,81713.45,West Oscarton
Nebraska,35.4,Kawasaki,390 Adventure,318831,2018,503,Petrol,31.92,Third,2019,Active,Individual,189924.57,Grantside
New York,47.96,Honda,CT 100,229713,2023,525,Petrol,44.95,First,2019,Expired,Individual,96685.47,South Melissaview
Idaho,39.9,KTM,Glamour,143729,2024,967,Hybrid,80.56,Third,2024,Active,Dealer,135364.4,North Markborough
Colorado,64.14,Royal Enfield,125 Duke,243426,2019,619,Petrol,51.9,First,2020,Expired,Individual,179319.59,Jessicamouth
Tennessee,53.3,KTM,Classic 350,198017,2023,515,Electric,89.76,First,2015,Active,Dealer,89858.94,New Jacob
Indiana,48.11,TVS,Xtreme 160R,212392,2019,469,Hybrid,97.46,First,2019,Expired,Dealer,93221.24,Juliabury
Utah,69.6,KTM,CT 100,63693,2018,224,Hybrid,39.65,Third,2021,Active,Individual,63858.39,Colemanstad
New York,34.24,Honda,Fascino 125,308513,2020,760,Electric,72.4,Third,2023,Active,Individual,206167.29,New Victorfort
Wisconsin,38.6,Kawasaki,Ninja 300,163447,2020,593,Electric,52.79,Third,2018,Expired,Individual,66998.63,South Ashley
New Hampshire,10.3,Honda,Ninja 300,167664,2016,686,Petrol,65.65,Second,2022,Not Available,Dealer,105467.38,New Nathanielport
Idaho,44.05,Honda,Vulcan S,55835,2019,257,Electric,97.35,Second,2024,Active,Individual,28430.75,North Savannahview
Tennessee,26.75,TVS,Vulcan S,199439,2019,506,Hybrid,61.1,Third,2024,Expired,Individual,103790.08,Port Craig
Illinois,17.93,Kawasaki,Himalayan,155946,2020,219,Petrol,29.3,Third,2019,Expired,Dealer,114071.79,Port Laura
California,10.49,Hero,Ninja 400,351944,2017,864,Electric,94.76,Second,2024,Expired,Individual,208049.29,Port Crystal
Tennessee,24.78,Honda,Pulsar 150,349041,2016,872,Electric,99.35,Third,2019,Active,Dealer,270262.44,South Steven
Kansas,10.74,TVS,Glamour,375653,2023,712,Petrol,40.5,First,2021,Active,Individual,133557.16,Whiteton
Vermont,34.34,Bajaj,Pulsar 150,344986,2019,783,Hybrid,36.78,Third,2020,Not Available,Dealer,227426.64,Port Susanstad
Nevada,26.62,TVS,Meteor 350,239470,2019,388,Petrol,50.02,Third,2024,Expired,Individual,70642.65,West Michelleside
Nevada,7.34,TVS,Xtreme 160R,199346,2017,709,Hybrid,57.33,Third,2022,Not Available,Individual,85292.58,Rubenton
Florida,56.44,KTM,Fascino 125,167148,2024,177,Electric,81.57,First,2017,Active,Dealer,108040.37,Glovertown
Missouri,59.82,TVS,Interceptor 650,305784,2015,186,Electric,94.42,Second,2018,Not Available,Dealer,185989.23,New Caitlin
South Carolina,55.87,TVS,CBR 650R,66512,2015,868,Electric,89.02,Third,2015,Active,Dealer,28805.02,Jerryburgh
Wisconsin,13.02,Kawasaki,Avenger 220,138762,2024,292,Electric,67.28,Second,2021,Not Available,Individual,152261.91,New Amanda
Oklahoma,67.16,Honda,125 Duke,321445,2017,521,Petrol,79.16,First,2023,Expired,Dealer,217310.97,Port Stephanieborough
South Dakota,60.68,Bajaj,Hunter 350,130026,2016,846,Petrol,86.73,Third,2016,Active,Individual,142388.78,Carrieton
Arkansas,23.24,Bajaj,Versys 650,155582,2015,810,Petrol,63.67,Second,2023,Expired,Dealer,98899.42,Lake Andrew
North Dakota,17.58,TVS,Ninja 400,272087,2021,147,Electric,87.23,Third,2016,Not Available,Individual,162512.0,East Martinshire
Michigan,50.66,Hero,Xtreme 160R,240792,2023,639,Hybrid,34.43,First,2023,Active,Dealer,135938.5,Garciaside
Washington,70.28,Kawasaki,390 Adventure,283533,2020,600,Hybrid,96.45,First,2024,Expired,Dealer,198236.55,Davidmouth
Minnesota,60.14,Honda,FZ V3,320959,2018,325,Petrol,79.4,First,2020,Expired,Individual,232117.44,East Shannon
Alaska,13.47,Yamaha,Passion Pro,211943,2021,633,Electric,71.09,First,2024,Active,Dealer,100219.06,Matthewmouth
Kansas,34.87,Bajaj,Vulcan S,201091,2020,872,Petrol,67.63,Second,2019,Not Available,Dealer,170769.98,Jenniferborough
Iowa,48.27,TVS,250 Duke,64925,2022,935,Hybrid,89.97,First,2023,Not Available,Individual,29678.16,Port Michaelchester
South Carolina,33.86,Bajaj,Shine,239799,2022,416,Hybrid,57.94,First,2022,Active,Individual,145117.8,Russoland
Maine,16.4,Yamaha,Splendor Plus,345457,2016,614,Hybrid,69.75,Third,2016,Expired,Individual,256401.94,Lake Charlesbury
Alaska,16.86,Bajaj,Shine,100498,2022,401,Electric,73.18,First,2019,Not Available,Dealer,75883.17,New Adrian
Arkansas,50.42,Royal Enfield,Unicorn,311257,2017,266,Petrol,54.31,Second,2020,Not Available,Dealer,192366.86,Lake Robert
Oklahoma,61.48,Yamaha,Dominar 400,143415,2020,544,Hybrid,93.77,First,2017,Expired,Individual,99691.77,Garzamouth
Tennessee,76.97,Yamaha,Pulsar 150,88076,2019,288,Electric,88.3,Third,2024,Not Available,Dealer,69799.25,Reedshire
Illinois,72.19,Kawasaki,Classic 350,367052,2020,286,Electric,85.79,First,2021,Not Available,Individual,236457.44,West Donna
Alabama,32.86,Honda,Interceptor 650,322563,2020,819,Petrol,41.53,Third,2018,Active,Dealer,162935.89,Port Brian
Louisiana,77.77,Yamaha,Dio,293793,2022,341,Electric,82.06,First,2024,Not Available,Individual,150402.72,Dianeview
Arkansas,78.54,TVS,Activa,191970,2016,464,Petrol,35.07,First,2019,Active,Individual,80847.08,Matthewmouth
South Carolina,31.0,Kawasaki,Versys 650,87234,2022,522,Electric,66.65,First,2024,Expired,Individual,63494.86,West David
North Carolina,66.98,Royal Enfield,Z650,156115,2017,930,Petrol,79.47,Third,2023,Expired,Dealer,105914.51,Port Sarahmouth
Florida,20.34,TVS,Himalayan,78254,2019,812,Petrol,46.31,Third,2019,Expired,Individual,59882.92,Erinmouth
West Virginia,75.25,KTM,Hunter 350,388376,2020,469,Hybrid,72.87,Third,2019,Active,Dealer,267315.58,North Jennifer
Alabama,53.85,KTM,Ninja 300,329889,2019,807,Petrol,44.9,Second,2024,Expired,Individual,181089.1,Greenburgh
New Jersey,20.31,Hero,Apache RTR 160,69856,2016,141,Petrol,69.52,Second,2021,Not Available,Dealer,59837.3,Ashleybury
Missouri,18.79,TVS,Ray ZR,151269,2024,732,Petrol,71.42,Second,2024,Expired,Individual,97684.38,North Anthony
Rhode Island,57.17,Kawasaki,Platina 110,279783,2022,316,Electric,75.74,First,2018,Expired,Dealer,136587.63,Ayersfort
Arkansas,58.47,Honda,Ronin,377546,2023,677,Petrol,55.63,First,2019,Not Available,Individual,256801.67,West Larry
Delaware,9.96,KTM,Dominar 400,215724,2016,803,Electric,94.68,Third,2024,Expired,Individual,136925.0,Lake Elizabeth
Maine,48.59,TVS,Ninja 400,205350,2022,799,Petrol,47.98,Second,2019,Not Available,Individual,140650.13,South Mitchellville
North Dakota,7.38,Hero,RC 390,175230,2022,914,Electric,87.89,First,2021,Expired,Individual,129138.75,West Cody
Tennessee,57.39,Yamaha,MT-15,322154,2021,387,Hybrid,46.0,Third,2023,Active,Individual,229762.91,New Christinetown
Maryland,14.41,Yamaha,Jupiter,132952,2022,208,Hybrid,61.71,Third,2018,Not Available,Individual,58231.38,Downsside
Kentucky,47.33,Kawasaki,FZ V3,74972,2024,773,Hybrid,63.98,Second,2023,Expired,Dealer,48264.5,East Antoniobury
California,13.22,Hero,Versys 650,231389,2022,493,Petrol,72.82,First,2021,Expired,Dealer,130586.1,New Robertport
Idaho,10.19,Bajaj,125 Duke,73283,2019,528,Petrol,59.74,Third,2024,Not Available,Individual,62810.94,North Walter
Georgia,78.42,Royal Enfield,Ninja 300,117328,2023,897,Hybrid,82.37,First,2019,Not Available,Dealer,78339.89,Cherylview
Illinois,47.76,KTM,Shine,248870,2020,398,Hybrid,74.9,Third,2023,Not Available,Dealer,200801.09,East Amanda
New York,59.84,Honda,Unicorn,227987,2019,430,Electric,92.22,First,2023,Expired,Individual,122829.06,Michelletown
Indiana,40.98,Yamaha,Ronin,260017,2021,408,Hybrid,73.06,First,2023,Expired,Dealer,188504.3,Petersontown
West Virginia,43.95,Honda,Platina 110,256729,2017,611,Hybrid,44.91,First,2016,Active,Individual,168549.54,Bookerborough
West Virginia,73.37,Bajaj,Ronin,73141,2021,282,Petrol,51.97,Second,2024,Not Available,Individual,81637.37,New Thomas
Colorado,35.82,Honda,FZ V3,367499,2018,635,Electric,86.58,Second,2019,Active,Individual,193777.95,Michaelmouth
Connecticut,61.0,Hero,Activa,117484,2024,457,Petrol,47.13,Second,2019,Not Available,Dealer,52479.12,North Johnville
Nevada,64.86,Hero,Splendor Plus,199611,2018,846,Hybrid,75.88,First,2017,Expired,Individual,84602.34,South Sonya
Kansas,8.09,Royal Enfield,Activa,81484,2022,351,Electric,83.8,Second,2024,Active,Individual,53755.64,Port Sarah
New Jersey,48.36,Honda,Xtreme 160R,240295,2017,544,Petrol,54.92,Second,2023,Expired,Individual,121924.41,Wallaceton
North Dakota,59.56,Yamaha,Z650,93708,2023,845,Electric,86.25,Third,2023,Not Available,Individual,62697.77,Obrienbury
North Carolina,7.78,Royal Enfield,Ronin,50108,2016,970,Petrol,54.41,Second,2021,Active,Dealer,23056.24,North Nathanielberg
Massachusetts,41.95,Kawasaki,Shine,310193,2020,220,Hybrid,62.92,Second,2022,Active,Dealer,246880.76,Andersonside
Illinois,34.06,Kawasaki,Fascino 125,299953,2017,657,Hybrid,48.06,First,2019,Expired,Dealer,131303.01,South Andrewhaven
Kentucky,38.7,KTM,Classic 350,181625,2019,753,Petrol,55.13,First,2021,Active,Dealer,144953.55,Jamesport
Connecticut,34.75,Honda,Jupiter,65046,2016,337,Electric,86.25,First,2015,Expired,Individual,35145.57,South Donaldchester
South Carolina,65.61,Honda,Vulcan S,351515,2019,425,Hybrid,43.66,Third,2017,Not Available,Individual,222633.91,Port Krista
Iowa,18.66,Kawasaki,Unicorn,92356,2023,808,Electric,76.49,First,2023,Not Available,Dealer,64153.35,Garciaport
Colorado,78.38,Hero,Dio,231333,2017,253,Electric,54.31,First,2021,Expired,Dealer,132067.21,Dawnhaven
Rhode Island,66.66,Honda,Ray ZR,226667,2019,394,Electric,95.24,First,2016,Active,Individual,157024.14,Joelland
New Jersey,19.9,TVS,Avenger 220,82853,2015,266,Petrol,58.87,Second,2024,Not Available,Individual,54746.95,East Candice
Alaska,48.39,KTM,Versys 650,247662,2017,981,Electric,99.51,Third,2019,Not Available,Individual,182282.91,Leslieshire
Washington,59.44,Yamaha,Versys 650,288748,2020,357,Hybrid,40.5,Second,2024,Expired,Individual,184717.5,Lake Michael
Wyoming,33.27,Hero,HF Deluxe,331019,2018,920,Petrol,63.88,Second,2020,Not Available,Individual,133271.84,Lake Bethfort
Virginia,39.09,Hero,CBR 650R,110138,2019,701,Petrol,53.02,First,2017,Active,Dealer,76168.7,South Stephanieside
Missouri,12.03,Hero,Vulcan S,390606,2021,251,Hybrid,57.13,Third,2023,Not Available,Individual,253959.97,Lake Marissa
Illinois,13.77,Yamaha,CT 100,242840,2019,464,Hybrid,76.24,Third,2016,Expired,Dealer,170606.57,Melissaborough
West Virginia,7.51,Yamaha,NTorq 125,226671,2015,338,Petrol,63.6,First,2023,Expired,Dealer,127672.42,Crosbymouth
New Jersey,77.53,Bajaj,Z650,204728,2019,652,Hybrid,52.94,Third,2023,Not Available,Dealer,148583.61,Mcclurechester
Maryland,12.76,Kawasaki,Vulcan S,75770,2022,703,Electric,98.8,Third,2022,Active,Individual,49744.73,New Jamesfurt
South Dakota,49.45,Yamaha,MT-15,90826,2016,308,Hybrid,94.56,First,2021,Expired,Dealer,94842.77,Williamburgh
Wisconsin,61.0,KTM,Fascino 125,244027,2021,582,Electric,92.51,Third,2024,Expired,Individual,181754.49,East Carlos
South Dakota,12.6,Yamaha,Interceptor 650,131228,2018,659,Hybrid,48.0,Second,2024,Active,Individual,68624.38,New Brian
North Dakota,50.11,Yamaha,250 Duke,262210,2018,454,Petrol,31.6,First,2024,Not Available,Dealer,135744.75,North Kim
Virginia,64.91,KTM,125 Duke,187086,2017,158,Electric,80.3,Second,2020,Active,Individual,116834.44,Littlemouth
Oregon,47.9,Kawasaki,Versys 650,258496,2019,313,Electric,73.31,Second,2024,Expired,Dealer,170839.94,Antoniomouth
Wisconsin,11.6,TVS,Fascino 125,155527,2021,164,Petrol,29.68,Second,2023,Expired,Dealer,86972.43,South Timothyport
South Dakota,26.72,Honda,Pulsar 150,197226,2020,348,Electric,89.54,Second,2022,Expired,Individual,155642.05,West Vicki
Iowa,25.88,Honda,Pulsar 150,382004,2022,240,Petrol,60.69,Third,2019,Not Available,Individual,229188.06,Kevinstad
Connecticut,67.06,Hero,Dominar 400,60139,2019,211,Hybrid,89.31,First,2019,Active,Dealer,28961.58,Collinsside
Idaho,14.02,Kawasaki,Passion Pro,181150,2015,344,Petrol,37.41,Second,2023,Active,Individual,104849.11,Kimberlyport
Wyoming,64.36,Royal Enfield,Vulcan S,75462,2020,593,Electric,98.23,First,2023,Not Available,Dealer,44758.7,East Matthew
Georgia,57.56,TVS,FZ V3,245075,2019,705,Electric,78.96,Second,2018,Not Available,Dealer,146185.24,Jameshaven
Idaho,27.65,KTM,CBR 650R,82967,2024,899,Petrol,76.62,First,2021,Not Available,Individual,47377.19,Ramirezborough
Tennessee,12.06,KTM,Meteor 350,373085,2017,464,Petrol,27.72,Second,2015,Active,Dealer,252217.32,New Destiny
Indiana,32.94,Kawasaki,Activa,321165,2016,881,Hybrid,48.84,Second,2021,Active,Dealer,227000.93,Port Seanview
New Jersey,75.47,Yamaha,HF Deluxe,77798,2019,487,Petrol,45.06,Third,2015,Active,Individual,39773.07,West Dale
California,53.21,Honda,Platina 110,274822,2017,268,Hybrid,63.78,First,2023,Not Available,Individual,189400.8,Sanchezchester
Wisconsin,65.33,Kawasaki,R15 V4,137001,2018,210,Electric,91.88,First,2024,Expired,Individual,61778.4,Lake Samuel
Rhode Island,63.62,Hero,Glamour,194557,2021,139,Hybrid,51.81,Second,2024,Active,Dealer,136606.53,Timothymouth
Alaska,76.62,KTM,Shine,267905,2021,628,Hybrid,80.75,Third,2024,Active,Dealer,208639.14,Joshuaborough
Delaware,30.41,Bajaj,Sport,386870,2024,998,Petrol,47.33,First,2020,Expired,Individual,293992.98,West Ronald
New York,76.26,Hero,Shine,388196,2016,237,Electric,99.01,Second,2024,Active,Dealer,212835.84,Justinville
Oklahoma,27.79,Kawasaki,250 Duke,246479,2018,359,Electric,89.03,Second,2024,Not Available,Individual,126605.33,Lake Jacqueline
California,27.28,Hero,Hunter 350,271425,2023,600,Petrol,32.67,First,2022,Expired,Individual,118812.22,West Davidville
Pennsylvania,66.73,Royal Enfield,Pulsar 150,164425,2021,317,Hybrid,61.25,Third,2024,Not Available,Dealer,139544.71,West Leah
Washington,64.13,Honda,Himalayan,268233,2015,954,Hybrid,80.64,Third,2022,Expired,Dealer,82423.21,Lake Christopherfurt
Maryland,77.18,Bajaj,250 Duke,67540,2020,468,Petrol,26.57,Second,2023,Not Available,Dealer,33576.81,South Kathleen
Washington,27.48,Yamaha,250 Duke,60280,2023,257,Hybrid,57.42,Third,2022,Active,Dealer,28710.75,Lake Michael
Nevada,71.71,Honda,250 Duke,78827,2021,753,Petrol,63.31,First,2024,Expired,Dealer,34147.77,South Alex
Oregon,20.27,Yamaha,Apache RTR 160,215394,2024,299,Petrol,31.06,Second,2022,Expired,Dealer,116556.63,West Jessicaborough
Alabama,55.95,Honda,Vulcan S,128469,2018,659,Electric,93.89,Second,2023,Not Available,Dealer,86422.4,Andrewland
Florida,65.73,Royal Enfield,Ray ZR,335500,2017,844,Electric,89.14,First,2022,Expired,Individual,180494.94,Lake Shawnchester
Delaware,17.7,Bajaj,Duke 200,275569,2022,646,Petrol,49.91,First,2019,Expired,Individual,134615.86,Crossshire
Washington,33.05,Hero,MT-15,293764,2015,403,Petrol,35.03,First,2023,Expired,Individual,153018.11,North Jaredshire
Nebraska,14.07,KTM,Dio,186220,2015,666,Hybrid,56.09,Third,2022,Not Available,Individual,131678.34,Lake John
Pennsylvania,52.82,Yamaha,Xtreme 160R,284069,2023,131,Petrol,85.4,Third,2018,Active,Dealer,238747.93,West Ashley
Indiana,58.7,Yamaha,MT-15,335568,2021,420,Electric,69.32,Second,2024,Expired,Dealer,231767.52,East Denisestad
Oklahoma,21.23,KTM,Dio,274190,2019,345,Hybrid,58.09,Third,2024,Expired,Dealer,200936.97,Kevinshire
Delaware,59.1,TVS,Versys 650,100576,2017,470,Petrol,25.09,Second,2019,Not Available,Dealer,135444.59,Mollyhaven
New Mexico,58.49,Honda,FZ V3,278279,2023,867,Hybrid,91.7,First,2023,Expired,Dealer,126125.28,East Josephhaven
Vermont,67.52,Yamaha,Himalayan,300371,2016,306,Petrol,59.1,Third,2015,Expired,Dealer,184504.19,Jasminburgh
Missouri,21.92,Royal Enfield,Duke 200,280180,2021,451,Hybrid,50.12,Third,2016,Expired,Dealer,187924.1,Port Joshua
Florida,55.4,Kawasaki,NTorq 125,226434,2020,798,Petrol,50.57,First,2020,Expired,Dealer,104923.4,Benjaminside
Idaho,33.03,Hero,Dominar 400,104317,2023,527,Petrol,32.87,Second,2021,Not Available,Individual,111662.12,New Dannybury
Oklahoma,18.33,Kawasaki,Classic 350,143443,2015,264,Hybrid,76.87,First,2020,Expired,Dealer,71294.3,Savagestad
Connecticut,58.12,TVS,MT-15,85535,2020,955,Hybrid,27.08,Second,2023,Expired,Individual,44949.45,Lamborough
Georgia,32.57,Hero,Shine,112027,2024,643,Electric,44.84,Third,2024,Not Available,Dealer,76057.84,Brittanyton
Oklahoma,63.57,Bajaj,250 Duke,171654,2023,657,Electric,89.14,First,2022,Expired,Individual,104355.8,Mariaberg
Oklahoma,26.02,KTM,Himalayan,345926,2023,316,Petrol,82.02,Second,2020,Active,Dealer,191170.13,West Michelehaven
New Jersey,20.16,Royal Enfield,Vulcan S,57809,2017,929,Hybrid,89.65,Second,2022,Not Available,Dealer,27165.78,Acostamouth
Massachusetts,79.35,Bajaj,Ronin,253294,2019,803,Petrol,27.53,First,2020,Active,Dealer,164666.77,New Shelly
New Jersey,32.94,Hero,Z650,190171,2019,262,Electric,92.48,First,2018,Not Available,Individual,174179.06,Lake Brenda
Florida,51.63,TVS,Avenger 220,253582,2015,239,Electric,76.63,First,2019,Expired,Individual,148462.69,Davidmouth
California,56.61,KTM,Jupiter,186766,2018,297,Electric,58.66,Third,2023,Active,Individual,124313.91,East Kyle
Oregon,48.66,KTM,390 Adventure,314073,2024,843,Electric,59.06,First,2023,Active,Dealer,134367.0,South Bradley
Arkansas,32.07,Bajaj,125 Duke,85846,2016,925,Hybrid,54.5,Third,2019,Expired,Individual,30383.34,Watkinsshire
Iowa,45.27,KTM,Platina 110,216530,2022,216,Hybrid,38.42,Second,2022,Not Available,Dealer,122959.46,North Kristy
